gene	go_id	name_1006
F2	GO:1900738	positive regulation of phospholipase C-activating G-protein coupled receptor signaling pathway
F2	GO:1900182	positive regulation of protein localization to nucleus
F2	GO:0090218	positive regulation of lipid kinase activity
F2	GO:0051918	negative regulation of fibrinolysis
F2	GO:0051480	regulation of cytosolic calcium ion concentration
F2	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol
F2	GO:0050900	leukocyte migration
F2	GO:0048712	negative regulation of astrocyte differentiation
F2	GO:0045861	negative regulation of proteolysis
F2	GO:0044267	cellular protein metabolic process
F2	GO:0042730	fibrinolysis
F2	GO:0032967	positive regulation of collagen biosynthetic process
F2	GO:0030307	positive regulation of cell growth
F2	GO:0030194	positive regulation of blood coagulation
F2	GO:0030193	regulation of blood coagulation
F2	GO:0030168	platelet activation
F2	GO:0017187	peptidyl-glutamic acid carboxylation
F2	GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling
F2	GO:0010544	negative regulation of platelet activation
F2	GO:0010468	regulation of gene expression
F2	GO:0009611	response to wounding
F2	GO:0008360	regulation of cell shape
F2	GO:0008284	positive regulation of cell proliferation
F2	GO:0007599	hemostasis
F2	GO:0007597	blood coagulation, intrinsic pathway
F2	GO:0007596	blood coagulation
F2	GO:0007275	multicellular organism development
F2	GO:0007166	cell surface receptor signaling pathway
F2	GO:0006953	acute-phase response
F2	GO:0006888	ER to Golgi vesicle-mediated transport
F2	GO:0006508	proteolysis
F2	GO:0006465	signal peptide processing
F2	GO:0001934	positive regulation of protein phosphorylation
F2	GO:0070053	thrombospondin receptor activity
F2	GO:0016787	hydrolase activity
F2	GO:0008236	serine-type peptidase activity
F2	GO:0008233	peptidase activity
F2	GO:0008083	growth factor activity
F2	GO:0005515	protein binding
F2	GO:0005509	calcium ion binding
F2	GO:0005102	receptor binding
F2	GO:0004252	serine-type endopeptidase activity
GRINA	GO:0016021	integral component of membrane
GRINA	GO:0016020	membrane
GRINA		
GRINA	GO:0044325	ion channel binding
GRINA	GO:0032469	endoplasmic reticulum calcium ion homeostasis
GRINA	GO:1902236	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
GRINA	GO:0005783	endoplasmic reticulum
GRINA	GO:0005794	Golgi apparatus
TMEM151B	GO:0016020	membrane
TMEM151B	GO:0016021	integral component of membrane
ZRANB1	GO:0004843	thiol-dependent ubiquitin-specific protease activity
ZRANB1	GO:0005515	protein binding
ZRANB1	GO:0008233	peptidase activity
ZRANB1	GO:0008234	cysteine-type peptidase activity
ZRANB1	GO:0008270	zinc ion binding
ZRANB1	GO:0016787	hydrolase activity
ZRANB1	GO:0036459	thiol-dependent ubiquitinyl hydrolase activity
ZRANB1	GO:0046872	metal ion binding
ZRANB1	GO:0070530	K63-linked polyubiquitin binding
ZRANB1	GO:0006508	proteolysis
ZRANB1	GO:0007010	cytoskeleton organization
ZRANB1	GO:0016055	Wnt signaling pathway
ZRANB1	GO:0016477	cell migration
ZRANB1	GO:0022604	regulation of cell morphogenesis
ZRANB1	GO:0030177	positive regulation of Wnt signaling pathway
ZRANB1	GO:0035523	protein K29-linked deubiquitination
ZRANB1	GO:0070536	protein K63-linked deubiquitination
ZRANB1	GO:0071947	protein deubiquitination involved in ubiquitin-dependent protein catabolic process
ZRANB1	GO:1990168	protein K33-linked deubiquitination
ZRANB1	GO:0005634	nucleus
ZRANB1	GO:0005654	nucleoplasm
ZRANB1	GO:0005737	cytoplasm
SCARA5	GO:0005044	scavenger receptor activity
SCARA5	GO:0070287	ferritin receptor activity
SCARA5	GO:0006810	transport
SCARA5	GO:0006811	ion transport
SCARA5	GO:0006879	cellular iron ion homeostasis
SCARA5	GO:0006897	endocytosis
SCARA5	GO:0006898	receptor-mediated endocytosis
SCARA5	GO:0010468	regulation of gene expression
SCARA5	GO:0030193	regulation of blood coagulation
SCARA5	GO:0034605	cellular response to heat
SCARA5	GO:0034755	iron ion transmembrane transport
SCARA5	GO:0055072	iron ion homeostasis
SCARA5	GO:0070207	protein homotrimerization
SCARA5	GO:0005886	plasma membrane
SCARA5	GO:0005887	integral component of plasma membrane
SCARA5	GO:0009986	cell surface
SCARA5	GO:0016020	membrane
SCARA5	GO:0016021	integral component of membrane
ZSCAN29	GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding
ZSCAN29	GO:0003676	nucleic acid binding
ZSCAN29	GO:0003677	DNA binding
ZSCAN29	GO:0003700	transcription factor activity, sequence-specific DNA binding
ZSCAN29	GO:0046872	metal ion binding
ZSCAN29	GO:0006351	transcription, DNA-templated
ZSCAN29	GO:0006355	regulation of transcription, DNA-templated
ZSCAN29	GO:0006357	regulation of transcription from RNA polymerase II promoter
ZSCAN29	GO:0005634	nucleus
ZSCAN29		
HIST1H2BK	GO:0005654	nucleoplasm
HIST1H2BK	GO:0005615	extracellular space
HIST1H2BK	GO:0000788	nuclear nucleosome
HIST1H2BK	GO:0050830	defense response to Gram-positive bacterium
HIST1H2BK	GO:0042742	defense response to bacterium
HIST1H2BK	GO:0019731	antibacterial humoral response
HIST1H2BK	GO:0006334	nucleosome assembly
HIST1H2BK	GO:0002227	innate immune response in mucosa
HIST1H2BK	GO:0003677	DNA binding
HIST1H2BK	GO:0003674	molecular_function
HIST1H2BK	GO:0005737	cytoplasm
HIST1H2BK	GO:0005694	chromosome
HIST1H2BK	GO:0005634	nucleus
HIST1H2BK	GO:0000786	nucleosome
HIST1H2BK	GO:0046982	protein heterodimerization activity
MMP13	GO:0004222	metalloendopeptidase activity
MMP13	GO:0004252	serine-type endopeptidase activity
MMP13	GO:0005509	calcium ion binding
MMP13	GO:0005518	collagen binding
MMP13	GO:0008233	peptidase activity
MMP13	GO:0008237	metallopeptidase activity
MMP13	GO:0008270	zinc ion binding
MMP13	GO:0016787	hydrolase activity
MMP13	GO:0046872	metal ion binding
MMP13	GO:0001958	endochondral ossification
MMP13	GO:0003417	growth plate cartilage development
MMP13	GO:0006508	proteolysis
MMP13	GO:0022617	extracellular matrix disassembly
MMP13	GO:0030282	bone mineralization
MMP13	GO:0030574	collagen catabolic process
MMP13	GO:0044267	cellular protein metabolic process
MMP13	GO:0051216	cartilage development
MMP13	GO:0060349	bone morphogenesis
MMP13	GO:0005576	extracellular region
MMP13	GO:0005578	proteinaceous extracellular matrix
MMP13	GO:0005615	extracellular space
MMP13	GO:0031012	extracellular matrix
MMP13	GO:0005581	collagen trimer
AMY2B	GO:0070062	extracellular exosome
AMY2B	GO:0005576	extracellular region
AMY2B	GO:0008152	metabolic process
AMY2B	GO:0007586	digestion
AMY2B	GO:0005975	carbohydrate metabolic process
AMY2B	GO:0046872	metal ion binding
AMY2B	GO:0043169	cation binding
AMY2B	GO:0016798	hydrolase activity, acting on glycosyl bonds
AMY2B	GO:0016787	hydrolase activity
AMY2B	GO:0004556	alpha-amylase activity
AMY2B	GO:0003824	catalytic activity
TSPAN1	GO:0070062	extracellular exosome
TSPAN1	GO:0048471	perinuclear region of cytoplasm
TSPAN1	GO:0031982	vesicle
TSPAN1	GO:0016021	integral component of membrane
TSPAN1	GO:0016020	membrane
TSPAN1	GO:0005887	integral component of plasma membrane
TSPAN1	GO:0005886	plasma membrane
TSPAN1	GO:0005765	lysosomal membrane
TSPAN1	GO:0005764	lysosome
TSPAN1	GO:0005737	cytoplasm
TSPAN1	GO:0050821	protein stabilization
TSPAN1	GO:0045807	positive regulation of endocytosis
TSPAN1	GO:0016477	cell migration
TSPAN1	GO:0008283	cell proliferation
TSPAN1	GO:0007166	cell surface receptor signaling pathway
TSPAN1	GO:0005515	protein binding
FIBCD1		
FIBCD1	GO:0005515	protein binding
FIBCD1	GO:0008061	chitin binding
FIBCD1	GO:0046872	metal ion binding
FIBCD1	GO:0016020	membrane
FIBCD1	GO:0016021	integral component of membrane
TBC1D3	GO:1902017	regulation of cilium assembly
TBC1D3	GO:0005096	GTPase activator activity
TBC1D3	GO:0043547	positive regulation of GTPase activity
TBC1D3	GO:0005886	plasma membrane
TBC1D3	GO:0016020	membrane
KIAA1107		
FAM169B		
DLGAP2	GO:0007270	neuron-neuron synaptic transmission
DLGAP2	GO:0023052	signaling
DLGAP2	GO:0005883	neurofilament
DLGAP2	GO:0005886	plasma membrane
DLGAP2	GO:0014069	postsynaptic density
DLGAP2	GO:0016020	membrane
DLGAP2	GO:0030054	cell junction
DLGAP2	GO:0045202	synapse
DLGAP2	GO:0045211	postsynaptic membrane
B2M	GO:0001948	glycoprotein binding
B2M	GO:0005515	protein binding
B2M	GO:0042802	identical protein binding
B2M	GO:0001895	retina homeostasis
B2M	GO:0002376	immune system process
B2M	GO:0002474	antigen processing and presentation of peptide antigen via MHC class I
B2M	GO:0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent
B2M	GO:0002480	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent
B2M	GO:0002726	positive regulation of T cell cytokine production
B2M	GO:0003254	regulation of membrane depolarization
B2M	GO:0006955	immune response
B2M	GO:0019731	antibacterial humoral response
B2M	GO:0019885	antigen processing and presentation of endogenous peptide antigen via MHC class I
B2M	GO:0032092	positive regulation of protein binding
B2M	GO:0044267	cellular protein metabolic process
B2M	GO:0045087	innate immune response
B2M	GO:0048260	positive regulation of receptor-mediated endocytosis
B2M	GO:0050690	regulation of defense response to virus by virus
B2M	GO:0050776	regulation of immune response
B2M	GO:0050829	defense response to Gram-negative bacterium
B2M	GO:0050830	defense response to Gram-positive bacterium
B2M	GO:0055072	iron ion homeostasis
B2M	GO:0060333	interferon-gamma-mediated signaling pathway
B2M	GO:0071222	cellular response to lipopolysaccharide
B2M	GO:0071281	cellular response to iron ion
B2M	GO:1900121	negative regulation of receptor binding
B2M	GO:1900122	positive regulation of receptor binding
B2M	GO:1903991	positive regulation of ferrous iron import into cell
B2M	GO:1904434	positive regulation of ferrous iron binding
B2M	GO:1904437	positive regulation of transferrin receptor binding
B2M	GO:0000139	Golgi membrane
B2M	GO:0005576	extracellular region
B2M	GO:0005615	extracellular space
B2M	GO:0005737	cytoplasm
B2M	GO:0005788	endoplasmic reticulum lumen
B2M	GO:0005794	Golgi apparatus
B2M	GO:0005886	plasma membrane
B2M	GO:0005925	focal adhesion
B2M	GO:0012507	ER to Golgi transport vesicle membrane
B2M	GO:0016020	membrane
B2M	GO:0030670	phagocytic vesicle membrane
B2M	GO:0031901	early endosome membrane
B2M	GO:0031905	early endosome lumen
B2M	GO:0042612	MHC class I protein complex
B2M	GO:0070062	extracellular exosome
B2M	GO:1990712	HFE-transferrin receptor complex
TSPAN11	GO:0016021	integral component of membrane
TSPAN11	GO:0016020	membrane
HIPK2	GO:0016605	PML body
HIPK2	GO:0001105	RNA polymerase II transcription coactivator activity
HIPK2	GO:0000166	nucleotide binding
HIPK2	GO:0001102	RNA polymerase II activating transcription factor binding
HIPK2	GO:0003714	transcription corepressor activity
HIPK2	GO:0004672	protein kinase activity
HIPK2	GO:0004674	protein serine/threonine kinase activity
HIPK2	GO:0005515	protein binding
HIPK2	GO:0005524	ATP binding
HIPK2	GO:0016301	kinase activity
HIPK2	GO:0016740	transferase activity
HIPK2	GO:0046332	SMAD binding
HIPK2	GO:0046790	virion binding
HIPK2	GO:0000122	negative regulation of transcription from RNA polymerase II promoter
HIPK2	GO:0001654	eye development
HIPK2	GO:0001934	positive regulation of protein phosphorylation
HIPK2	GO:0006351	transcription, DNA-templated
HIPK2	GO:0006355	regulation of transcription, DNA-templated
HIPK2	GO:0006468	protein phosphorylation
HIPK2	GO:0006915	apoptotic process
HIPK2	GO:0006974	cellular response to DNA damage stimulus
HIPK2	GO:0006978	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator
HIPK2	GO:0007179	transforming growth factor beta receptor signaling pathway
HIPK2	GO:0007224	smoothened signaling pathway
HIPK2	GO:0007628	adult walking behavior
HIPK2	GO:0008284	positive regulation of cell proliferation
HIPK2	GO:0008344	adult locomotory behavior
HIPK2	GO:0009952	anterior/posterior pattern specification
HIPK2	GO:0010842	retina layer formation
HIPK2	GO:0016310	phosphorylation
HIPK2	GO:0018105	peptidyl-serine phosphorylation
HIPK2	GO:0018107	peptidyl-threonine phosphorylation
HIPK2	GO:0019048	modulation by virus of host morphology or physiology
HIPK2	GO:0030182	neuron differentiation
HIPK2	GO:0030218	erythrocyte differentiation
HIPK2	GO:0030511	positive regulation of transforming growth factor beta receptor signaling pathway
HIPK2	GO:0030514	negative regulation of BMP signaling pathway
HIPK2	GO:0030578	PML body organization
HIPK2	GO:0032092	positive regulation of protein binding
HIPK2	GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
HIPK2	GO:0043388	positive regulation of DNA binding
HIPK2	GO:0043524	negative regulation of neuron apoptotic process
HIPK2	GO:0045766	positive regulation of angiogenesis
HIPK2	GO:0045893	positive regulation of transcription, DNA-templated
HIPK2	GO:0045944	positive regulation of transcription from RNA polymerase II promoter
HIPK2	GO:0046330	positive regulation of JNK cascade
HIPK2	GO:0048596	embryonic camera-type eye morphogenesis
HIPK2	GO:0050882	voluntary musculoskeletal movement
HIPK2	GO:0051091	positive regulation of sequence-specific DNA binding transcription factor activity
HIPK2	GO:0051726	regulation of cell cycle
HIPK2	GO:0060059	embryonic retina morphogenesis in camera-type eye
HIPK2	GO:0060235	lens induction in camera-type eye
HIPK2	GO:0060395	SMAD protein signal transduction
HIPK2	GO:0061072	iris morphogenesis
HIPK2	GO:0071456	cellular response to hypoxia
HIPK2	GO:0097193	intrinsic apoptotic signaling pathway
HIPK2	GO:1901796	regulation of signal transduction by p53 class mediator
HIPK2	GO:0005634	nucleus
HIPK2	GO:0005654	nucleoplasm
HIPK2	GO:0005737	cytoplasm
HIPK2	GO:0016604	nuclear body
HIPK2	GO:0090575	RNA polymerase II transcription factor complex
PGBD3		
B2M		
TSPAN11	GO:0005887	integral component of plasma membrane
TSPAN11	GO:0007166	cell surface receptor signaling pathway
HNF1B	GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding
HNF1B	GO:0001159	core promoter proximal region DNA binding
HNF1B	GO:0003677	DNA binding
HNF1B	GO:0003700	transcription factor activity, sequence-specific DNA binding
HNF1B	GO:0003705	transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding
HNF1B	GO:0005515	protein binding
HNF1B	GO:0032403	protein complex binding
HNF1B	GO:0042803	protein homodimerization activity
HNF1B	GO:0043565	sequence-specific DNA binding
HNF1B	GO:0044212	transcription regulatory region DNA binding
HNF1B	GO:0046982	protein heterodimerization activity
HNF1B	GO:0000122	negative regulation of transcription from RNA polymerase II promoter
HNF1B	GO:0001714	endodermal cell fate specification
HNF1B	GO:0001822	kidney development
HNF1B	GO:0001826	inner cell mass cell differentiation
HNF1B	GO:0001889	liver development
HNF1B	GO:0006351	transcription, DNA-templated
HNF1B	GO:0006355	regulation of transcription, DNA-templated
HNF1B	GO:0007219	Notch signaling pathway
HNF1B	GO:0007492	endoderm development
HNF1B	GO:0009743	response to carbohydrate
HNF1B	GO:0009749	response to glucose
HNF1B	GO:0009952	anterior/posterior pattern specification
HNF1B	GO:0010628	positive regulation of gene expression
HNF1B	GO:0014070	response to organic cyclic compound
HNF1B	GO:0030073	insulin secretion
HNF1B	GO:0030111	regulation of Wnt signaling pathway
HNF1B	GO:0030902	hindbrain development
HNF1B	GO:0032922	circadian regulation of gene expression
HNF1B	GO:0035565	regulation of pronephros size
HNF1B	GO:0039020	pronephric nephron tubule development
HNF1B	GO:0042493	response to drug
HNF1B	GO:0042663	regulation of endodermal cell fate specification
HNF1B	GO:0043066	negative regulation of apoptotic process
HNF1B	GO:0045893	positive regulation of transcription, DNA-templated
HNF1B	GO:0045944	positive regulation of transcription from RNA polymerase II promoter
HNF1B	GO:0048557	embryonic digestive tract morphogenesis
HNF1B	GO:0048598	embryonic morphogenesis
HNF1B	GO:0048754	branching morphogenesis of an epithelial tube
HNF1B	GO:0048793	pronephros development
HNF1B	GO:0050673	epithelial cell proliferation
HNF1B	GO:0060261	positive regulation of transcription initiation from RNA polymerase II promoter
HNF1B	GO:0060429	epithelium development
HNF1B	GO:0060677	ureteric bud elongation
HNF1B	GO:0060993	kidney morphogenesis
HNF1B	GO:0061017	hepatoblast differentiation
HNF1B	GO:0061296	negative regulation of mesenchymal cell apoptotic process involved in mesonephric nephron morphogenesis
HNF1B	GO:0065004	protein-DNA complex assembly
HNF1B	GO:0070365	hepatocyte differentiation
HNF1B	GO:0072095	regulation of branch elongation involved in ureteric bud branching
HNF1B	GO:0072164	mesonephric tubule development
HNF1B	GO:0072176	nephric duct development
HNF1B	GO:0072177	mesonephric duct development
HNF1B	GO:0072179	nephric duct formation
HNF1B	GO:0072181	mesonephric duct formation
HNF1B	GO:1900212	negative regulation of mesenchymal cell apoptotic process involved in metanephros development
HNF1B	GO:0005634	nucleus
HNF1B	GO:0005654	nucleoplasm
HNF1B	GO:0005667	transcription factor complex
ACMSD	GO:0001760	aminocarboxymuconate-semialdehyde decarboxylase activity
ACMSD	GO:0008270	zinc ion binding
ACMSD	GO:0016787	hydrolase activity
ACMSD	GO:0016829	lyase activity
ACMSD	GO:0016831	carboxy-lyase activity
ACMSD	GO:0046872	metal ion binding
ACMSD	GO:0006568	tryptophan metabolic process
ACMSD	GO:0006569	tryptophan catabolic process
ACMSD	GO:0046874	quinolinate metabolic process
ACMSD	GO:0051259	protein oligomerization
ACMSD	GO:1904984	regulation of quinolinate biosynthetic process
ACMSD	GO:1905004	picolinic acid biosynthetic process
ACMSD	GO:1905012	regulation of 'de novo' NAD biosynthetic process from tryptophan
ACMSD	GO:0005829	cytosol
ACMSD	GO:0070062	extracellular exosome
PLEKHN1	GO:0005886	plasma membrane
PLEKHN1	GO:0016020	membrane
TEX22		
ACMSD	GO:0016021	integral component of membrane
ACMSD	GO:0016020	membrane
TEX22	GO:0031410	cytoplasmic vesicle
TEX22	GO:0005737	cytoplasm
TEX22	GO:0001669	acrosomal vesicle
PLEKHN1		
PCP4	GO:0005516	calmodulin binding
PCP4	GO:0007417	central nervous system development
PCP4	GO:0005634	nucleus
PCP4	GO:0005829	cytosol
PIK3IP1	GO:0016021	integral component of membrane
PIK3IP1	GO:0016020	membrane
PIK3IP1	GO:0043553	negative regulation of phosphatidylinositol 3-kinase activity
PIK3IP1	GO:0014067	negative regulation of phosphatidylinositol 3-kinase signaling
PIK3IP1	GO:0036313	phosphatidylinositol 3-kinase catalytic subunit binding
PIK3IP1	GO:0005886	plasma membrane
PIK3IP1	GO:0070062	extracellular exosome
PCP4		
INPP5K	GO:0004439	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity
INPP5K	GO:0004445	inositol-polyphosphate 5-phosphatase activity
INPP5K	GO:0005000	vasopressin receptor activity
INPP5K	GO:0005515	protein binding
INPP5K	GO:0016312	inositol bisphosphate phosphatase activity
INPP5K	GO:0016787	hydrolase activity
INPP5K	GO:0034485	phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity
INPP5K	GO:0034594	phosphatidylinositol trisphosphate phosphatase activity
INPP5K	GO:0034595	phosphatidylinositol phosphate 5-phosphatase activity
INPP5K	GO:0042577	lipid phosphatase activity
INPP5K	GO:0046030	inositol trisphosphate phosphatase activity
INPP5K	GO:0052658	inositol-1,4,5-trisphosphate 5-phosphatase activity
INPP5K	GO:0052659	inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity
INPP5K	GO:0001701	in utero embryonic development
INPP5K	GO:0001933	negative regulation of protein phosphorylation
INPP5K	GO:0005979	regulation of glycogen biosynthetic process
INPP5K	GO:0006469	negative regulation of protein kinase activity
INPP5K	GO:0006661	phosphatidylinositol biosynthetic process
INPP5K	GO:0007186	G-protein coupled receptor signaling pathway
INPP5K	GO:0010801	negative regulation of peptidyl-threonine phosphorylation
INPP5K	GO:0010829	negative regulation of glucose transport
INPP5K	GO:0016311	dephosphorylation
INPP5K	GO:0030036	actin cytoskeleton organization
INPP5K	GO:0032868	response to insulin
INPP5K	GO:0032869	cellular response to insulin stimulus
INPP5K	GO:0032870	cellular response to hormone stimulus
INPP5K	GO:0033137	negative regulation of peptidyl-serine phosphorylation
INPP5K	GO:0035305	negative regulation of dephosphorylation
INPP5K	GO:0035810	positive regulation of urine volume
INPP5K	GO:0042593	glucose homeostasis
INPP5K	GO:0043407	negative regulation of MAP kinase activity
INPP5K	GO:0043922	negative regulation by host of viral transcription
INPP5K	GO:0045719	negative regulation of glycogen biosynthetic process
INPP5K	GO:0045869	negative regulation of single stranded viral RNA replication via double stranded DNA intermediate
INPP5K	GO:0045892	negative regulation of transcription, DNA-templated
INPP5K	GO:0045893	positive regulation of transcription, DNA-templated
INPP5K	GO:0046627	negative regulation of insulin receptor signaling pathway
INPP5K	GO:0046855	inositol phosphate dephosphorylation
INPP5K	GO:0046856	phosphatidylinositol dephosphorylation
INPP5K	GO:0051497	negative regulation of stress fiber assembly
INPP5K	GO:0051898	negative regulation of protein kinase B signaling
INPP5K	GO:0051926	negative regulation of calcium ion transport
INPP5K	GO:0071320	cellular response to cAMP
INPP5K	GO:0071356	cellular response to tumor necrosis factor
INPP5K	GO:0071364	cellular response to epidermal growth factor stimulus
INPP5K	GO:0072661	protein targeting to plasma membrane
INPP5K	GO:0090315	negative regulation of protein targeting to membrane
INPP5K	GO:0097178	ruffle assembly
INPP5K	GO:2000466	negative regulation of glycogen (starch) synthase activity
INPP5K	GO:2001153	positive regulation of renal water transport
INPP5K	GO:0001726	ruffle
INPP5K	GO:0005634	nucleus
INPP5K	GO:0005737	cytoplasm
INPP5K	GO:0005783	endoplasmic reticulum
INPP5K	GO:0005802	trans-Golgi network
INPP5K	GO:0005829	cytosol
INPP5K	GO:0005886	plasma membrane
INPP5K	GO:0016020	membrane
INPP5K	GO:0032587	ruffle membrane
INPP5K	GO:0043005	neuron projection
INPP5K	GO:0048471	perinuclear region of cytoplasm
KANK3		
PIK3IP1		
INPP5K		
LONRF2	GO:0004176	ATP-dependent peptidase activity
LONRF2	GO:0008270	zinc ion binding
LONRF2	GO:0046872	metal ion binding
LONRF2	GO:0006508	proteolysis
OTUD7A	GO:0003677	DNA binding
OTUD7A	GO:0004843	thiol-dependent ubiquitin-specific protease activity
OTUD7A	GO:0008233	peptidase activity
OTUD7A	GO:0008234	cysteine-type peptidase activity
OTUD7A	GO:0008270	zinc ion binding
OTUD7A	GO:0016787	hydrolase activity
OTUD7A	GO:0036459	thiol-dependent ubiquitinyl hydrolase activity
OTUD7A	GO:0046872	metal ion binding
OTUD7A	GO:0070530	K63-linked polyubiquitin binding
OTUD7A	GO:0006508	proteolysis
OTUD7A	GO:0006955	immune response
OTUD7A	GO:0035871	protein K11-linked deubiquitination
OTUD7A	GO:0043124	negative regulation of I-kappaB kinase/NF-kappaB signaling
OTUD7A	GO:0045088	regulation of innate immune response
OTUD7A	GO:0050727	regulation of inflammatory response
